Country,Region,Year,Alcohol_consumption,BMI,GDP_per_capita,Population_mln,Schooling,Economy_status_Developed,Life_expectancy
Belarus,Rest of Europe,2011,14.5,26.4,5938,9.46,12,0,70.6
Iraq,Middle East,2010,0.16,28,4052,29.74,6.4,0,68.6
Bulgaria,European Union,2000,10.26,25.3,3718,8.17,9.5,1,71.7
Guinea-Bissau,Africa,2008,3.01,22.9,570,1.45,2.4,0,53.6
Kuwait,Middle East,2004,0.018,28.6,37169,2.2,6.1,0,73.4
Mongolia,Asia,2006,4.59,24.9,2217,2.56,8.8,0,65.5
Pakistan,Asia,2014,0.04,23.8,1323,195.31,5.1,0,66.4
Mongolia,Asia,2008,8.92,25.2,2588,2.63,9,0,66.4
Luxembourg,European Union,2011,11.74,26.1,105290,0.52,11.8,1,81
"Bahamas, The",Central America and Caribbean,2009,8.75,27.4,32244,0.35,10.9,0,72.1
Lebanon,Middle East,2002,2.06,26.5,6625,4.18,7.5,0,75.5
Bhutan,Asia,2001,1.42,22.3,1176,0.6,2.3,0,61.8
Madagascar,Africa,2005,0.74,20.9,471,18.34,5.6,0,61.2
Oman,Middle East,2008,0.51,25.8,21143,2.75,8.1,0,75.2
Equatorial Guinea,Africa,2013,8.95,23.8,13422,1.08,5.5,0,56.6
"Iran, Islamic Rep.",Middle East,2014,0.01,26,5346,77.47,9.8,0,75.5
Austria,European Union,2001,12.35,25,39185,8.04,9.2,1,78.6
Germany,European Union,2001,12.46,25.8,35011,82.35,11.7,1,78.3
Belarus,Rest of Europe,2001,10.74,25.8,2755,9.93,9,0,68.5
Argentina,South America,2013,8.27,27.4,14072,42.2,9.8,0,75.8
Greece,European Union,2012,7.62,27.1,18124,11.05,10.3,1,80.6
Comoros,Africa,2009,0.18,23.7,1193,0.67,3.9,0,61.5
Australia,Oceania,2009,10.62,26.9,53226,21.69,12.3,1,81.5
Malawi,Africa,2007,1.93,22.3,314,13.34,3.8,0,50.6
Central African Republic,Africa,2013,1.7,22.6,365,4.45,4,0,49.4
Saudi Arabia,Middle East,2007,0.092,27.9,18496,25.18,8.1,0,73.5
Nicaragua,Central America and Caribbean,2007,3.77,26.5,1675,5.59,5.7,0,71.7
Netherlands,European Union,2003,9.48,25.2,40785,16.23,11.3,1,78.5
Solomon Islands,Oceania,2001,0.7,25,1737,0.42,4.6,0,67.8
Guatemala,Central America and Caribbean,2005,2.34,25.5,3320,12.95,3.5,0,69.8
"Micronesia, Fed. Sts.",Oceania,2001,2.83,28.8,2964,0.11,5.1,0,64.7
Sweden,European Union,2012,7.23,25.9,48886,9.52,12.4,1,81.7
Lebanon,Middle East,2015,1.15,27.5,7643,6.53,8.5,0,78.8
Sweden,European Union,2002,6.88,25.3,42377,8.92,11.6,1,79.8
Morocco,Africa,2007,0.48,25.2,2295,31.16,4,0,73
Armenia,Rest of Europe,2005,4.17,25.8,2364,2.98,10.9,0,72.6
Ghana,Africa,2002,1.95,22.8,1077,20.25,6.2,0,57.4
Saudi Arabia,Middle East,2009,0.088,28,18203,26.63,8.6,0,73.8
Mongolia,Asia,2013,12.58,25.8,3651,2.88,10,0,68.6
"Venezuela, RB",South America,2012,6.8,26.6,12986,29.36,9.7,0,73
Malawi,Africa,2004,1.25,22.1,287,12.3,3.3,0,46.8
Spain,European Union,2009,9.99,26.2,25779,46.36,9.3,1,81.5
Somalia,Africa,2001,0,22.2,183,9.19,2.1,0,51.2
Lebanon,Middle East,2000,2.37,26.4,6713,3.84,7.5,0,74.5
Canada,North America,2002,7.7,26.4,35016,31.36,11.5,1,79.5
Indonesia,Asia,2011,0.08,22.6,2849,245.12,7.6,0,69.5
Cabo Verde,Africa,2008,4.25,24.1,3079,0.48,4.8,0,70.8
El Salvador,Central America and Caribbean,2010,2.3,27.1,3335,6.18,7.1,0,71.2
Iceland,Rest of Europe,2012,6.82,26.1,49192,0.32,11.5,1,82.9
Kiribati,Oceania,2008,0.46,29.4,1429,0.1,7.6,0,65.2
Guinea-Bissau,Africa,2006,3.48,22.7,562,1.38,2.3,0,52.7
Austria,European Union,2004,12.17,25.2,40651,8.17,9.8,1,79.2
Canada,North America,2014,8.1,26.9,43635,35.44,13,1,81.8
Serbia,Rest of Europe,2001,9.2,25.3,3419,7.5,9.6,0,72.2
Morocco,Africa,2004,0.47,24.9,2066,30.12,3.8,0,71.1
Eswatini,Africa,2004,5.76,25.8,2749,1.03,4,0,42.7
Maldives,Asia,2001,1.74,23.3,6544,0.29,3.1,0,71
Burundi,Africa,2006,4.99,21.1,302,7.61,2.4,0,54.2
Philippines,Asia,2009,4.34,22.7,2305,92.41,9,0,69.7
"Congo, Rep.",Africa,2000,0.95,22,2062,3.13,5.5,0,52.1
Guinea,Africa,2012,0.24,22.7,738,10.65,2.4,0,57.9
Slovenia,European Union,2015,11.49,26.5,20890,2.06,12,1,80.8
Hungary,European Union,2003,13.24,26.2,10260,10.13,10.5,1,72.3
Afghanistan,Asia,2004,0.02,22.1,323,24.73,2.5,0,57.8
Sweden,European Union,2011,7.31,25.8,49540,9.45,12.4,1,81.8
Jamaica,Central America and Caribbean,2015,3.27,27.6,4908,2.89,9.6,0,74.1
United Arab Emirates,Middle East,2014,2,28.3,36996,9.21,10.5,0,77.1
Papua New Guinea,Oceania,2003,0.56,24.4,1803,6.22,3.4,0,60
Guyana,South America,2004,8.65,25.1,4025,0.75,7.9,0,66.4
Brazil,South America,2001,7.18,24.9,6789,177.2,5.8,0,70.5
Spain,European Union,2002,10.41,26.2,25026,41.43,8.5,1,79.6
Kiribati,Oceania,2001,0.71,28.8,1506,0.09,6.9,0,63.4
Belgium,European Union,2015,10.36,26.1,41008,11.27,11.7,1,81
Equatorial Guinea,Africa,2015,8.11,23.9,11283,1.17,5.5,0,57.4
Montenegro,Rest of Europe,2013,9.62,26.3,6203,0.62,11.2,0,76.5
Sri Lanka,Asia,2009,2.05,22.4,2750,20.12,10.9,0,75.3
Oman,Middle East,2005,0.6,25.6,19448,2.51,6.8,0,74.2
Albania,Rest of Europe,2001,4.51,25.2,2144,3.06,8.7,0,74.3
Bosnia and Herzegovina,Rest of Europe,2013,4.69,25.5,4391,3.54,8.7,0,76.6
Barbados,Central America and Caribbean,2015,9.68,27.7,16559,0.29,10.5,0,78.8
Afghanistan,Asia,2012,0.01,22.9,558,31.16,3.4,0,62.1
Tonga,Oceania,2000,1.22,31.2,3672,0.1,9.1,0,69.7
Colombia,South America,2005,4.27,25.3,4403,42.65,6.8,0,74.3
Solomon Islands,Oceania,2012,0.97,25.9,2178,0.56,5.2,0,71.3
Qatar,Middle East,2001,0.75,27.7,56916,0.62,8,0,77.6
Tajikistan,Asia,2005,0.65,24.6,631,6.79,10.5,0,66.1
Iraq,Middle East,2009,0.2,27.9,3909,28.97,6.3,0,68.3
Tanzania,Africa,2009,6.26,22.7,782,43.07,5,0,57.7
Cambodia,Asia,2001,0.62,20.8,516,12.41,3.3,0,59.3
Italy,European Union,2004,8.98,25.6,33150,57.69,9.1,1,80.8
Seychelles,Africa,2012,8.89,26.4,13701,0.09,8.8,0,74.3
Angola,Africa,2003,2.2,22,2022,18.12,4.4,0,48.4
Ireland,European Union,2006,13.12,26.8,50462,4.27,11.8,1,79.2
Brazil,South America,2005,6.76,25.3,7352,186.13,6.3,0,71.9
Jordan,Middle East,2011,0.38,28.6,4521,7.66,9.9,0,73.6
Brazil,South America,2000,7.3,24.8,6788,174.79,5.6,0,70.1
Bangladesh,Asia,2003,0.003,20.4,708,134.79,4.4,0,66.9
Mali,Africa,2012,0.61,22.7,705,15.98,2.1,0,56.1
Greece,European Union,2008,8.73,27,23929,11.08,10.1,1,79.9
Singapore,Asia,2010,1.84,23.5,48753,5.08,11.2,0,81.5
Madagascar,Africa,2008,0.61,21,514,20,5.9,0,62.5
Costa Rica,Central America and Caribbean,2009,4.14,26.7,9838,4.52,8.4,0,78.6
Eritrea,Africa,2007,1.75,20.4,722,3,3.8,0,60.2
Dominican Republic,Central America and Caribbean,2009,5.63,25.8,5393,9.58,7.2,0,71.8
Spain,European Union,2008,10.24,26.2,27026,45.95,9.2,1,81.2
Solomon Islands,Oceania,2009,1.2,25.7,1980,0.52,5,0,70.4
Norway,Rest of Europe,2003,6.04,25.9,69327,4.56,12.2,1,79.4
Papua New Guinea,Oceania,2007,0.67,24.8,2046,6.81,3.7,0,61.1
Togo,Africa,2007,1.52,22.8,450,5.92,4.3,0,55.6
Lao PDR,Asia,2013,6.25,22.6,1911,6.54,5.1,0,65.7
Senegal,Africa,2009,0.31,22.7,1143,12.34,2.4,0,63.6
Burundi,Africa,2010,4.61,21.3,313,8.68,2.6,0,57.2
Japan,Asia,2015,8.55,22.7,34961,127.14,12.5,1,83.8
Brunei Darussalam,Asia,2005,0.14,25.8,34441,0.37,8.5,0,74
Botswana,Africa,2012,5.46,24.2,6089,2.04,9,0,63.5
Croatia,European Union,2004,12.42,26,10943,4.3,9.7,1,75.5
Nigeria,Africa,2008,10.79,22.9,2173,150.27,5.2,0,49.9
Zimbabwe,Africa,2013,4.11,23.7,1435,13.35,8,0,56.9
Kazakhstan,Asia,2002,5.78,25.7,5551,14.86,11,0,66
Mauritius,Africa,2014,3.06,25.2,8955,1.26,9.1,0,74.2
North Macedonia,Rest of Europe,2015,3.57,26.7,4862,2.07,9.6,0,75.4
Morocco,Africa,2015,0.39,25.9,2875,34.66,5,0,75.7
Singapore,Asia,2005,1.49,23.5,41799,4.27,10.5,0,80
Slovenia,European Union,2007,11.02,25.9,21575,2.02,11.8,1,78.6
United States,North America,2003,8.4,27.9,50036,290.11,12.8,1,77
New Zealand,Oceania,2009,9.24,27.6,35252,4.3,11.9,1,80.7
Jamaica,Central America and Caribbean,2006,3.35,26.4,5260,2.75,8.3,0,74.1
Comoros,Africa,2006,0.24,23.4,1185,0.63,3.3,0,60.4
Pakistan,Asia,2003,0.014,22.8,1074,153.09,4,0,63.5
Estonia,European Union,2001,10.1,25.5,10626,1.39,11.8,1,70.3
Armenia,Rest of Europe,2010,4.23,26,2959,2.88,11.1,0,73.3
Slovak Republic,European Union,2012,10.14,26.2,15067,5.41,12.3,1,76.1
Samoa,Oceania,2008,3.97,31.3,4062,0.18,9.8,0,71.2
Uzbekistan,Asia,2011,1.73,26.2,2231,29.34,10.9,0,69.9
Qatar,Middle East,2012,1.03,28.7,63234,2.2,9.2,0,79.4
Namibia,Africa,2009,1.35,23.7,3982,2.08,6.2,0,55.2
Lebanon,Middle East,2013,1.18,27.4,8201,5.91,8.3,0,78.7
Afghanistan,Asia,2003,0.02,22,332,23.68,2.4,0,57.3
Lesotho,Africa,2007,2.85,24.5,912,1.99,5.5,0,42.9
Lithuania,European Union,2006,13.34,26.2,10659,3.27,12,1,71.1
Slovak Republic,European Union,2015,10.27,26.4,16342,5.42,12.5,1,76.6
Ecuador,South America,2002,3.98,25.5,4397,13.14,7.1,0,73.4
Senegal,Africa,2015,0.19,22.9,1219,14.58,2.9,0,66.7
Kiribati,Oceania,2005,0.61,29.2,1531,0.09,7.3,0,64.5
Serbia,Rest of Europe,2005,9.27,25.5,4405,7.44,10.2,0,72.8
"Egypt, Arab Rep.",Africa,2000,0.14,27.6,2610,68.83,4.8,0,68.6
Panama,Central America and Caribbean,2012,6.21,26.6,12080,3.77,9.5,0,77.2
Tanzania,Africa,2003,3.45,22.3,634,36.34,4.4,0,52.9
Cyprus,European Union,2005,11.41,26.6,25630,1.03,10.7,1,78.6
Eritrea,Africa,2002,0.89,20.2,857,2.48,3.7,0,56.5
Sierra Leone,Africa,2010,3.48,22.6,536,6.42,3.1,0,49.4
Estonia,European Union,2012,16.96,26.2,16257,1.32,12.5,1,76.3
Eswatini,Africa,2002,5.51,25.6,2572,1.02,3.6,0,44.4
Fiji,Oceania,2009,2.32,27.1,4426,0.85,9.5,0,66.6
St. Vincent and the Grenadines,Central America and Caribbean,2008,7.17,26.4,7190,0.11,8.1,0,71.6
North Macedonia,Rest of Europe,2005,4.24,25.9,3601,2.04,8.2,0,73.7
Greece,European Union,2013,7.55,27.1,17796,10.97,10.4,1,81.3
United Arab Emirates,Middle East,2008,1.86,27.8,40755,7.09,9.6,0,76
"Egypt, Arab Rep.",Africa,2009,0.19,28.7,3381,81.13,6.4,0,70.2
Kazakhstan,Asia,2010,3.94,26,8979,16.32,11.4,0,68.5
Ukraine,Rest of Europe,2007,8.12,26.1,2528,46.51,11.2,0,68.2
Mozambique,Africa,2012,0.97,22.5,523,24.86,3.3,0,53.9
Bosnia and Herzegovina,Rest of Europe,2010,4.57,25.4,4096,3.71,7.1,0,76
Nepal,Asia,2003,0.2,21,584,25.08,2.6,0,64.2
Oman,Middle East,2000,0.38,25.4,20625,2.27,5.3,0,72.1
Qatar,Middle East,2002,0.83,27.8,58542,0.64,8.1,0,77.8
St. Lucia,Central America and Caribbean,2015,9.23,29.8,10094,0.18,8.9,0,75.6
Grenada,Central America and Caribbean,2007,9.14,26.1,8677,0.11,8,0,73.1
Zambia,Africa,2003,2.39,21.7,843,11.26,6.1,0,46.3
Togo,Africa,2006,2.01,22.7,468,5.76,4.3,0,55.1
Zambia,Africa,2010,2.79,22.2,1215,13.61,6.6,0,55.7
Jamaica,Central America and Caribbean,2009,3.24,26.8,4987,2.8,8.8,0,74.1
Benin,Africa,2003,1.46,22.4,943,7.52,2.7,0,56.4
"Congo, Dem. Rep.",Africa,2001,2.05,20.8,334,48.43,3.5,0,50.7
Ukraine,Rest of Europe,2008,9.41,26.2,2599,46.26,11.3,0,68.3
Costa Rica,Central America and Caribbean,2001,4.25,25.9,7805,4.03,8,0,77.6
United Kingdom,Rest of Europe,2006,10.93,26.8,43928,60.85,12.4,1,79.2
Colombia,South America,2015,4.16,26.1,6176,47.52,8.1,0,76.5
Morocco,Africa,2014,0.41,25.8,2789,34.19,5,0,75.5
Libya,Africa,2013,0.01,27.8,10101,6.32,7.3,0,71.9
Bosnia and Herzegovina,Rest of Europe,2008,5.03,25.2,4132,3.75,7.6,0,75.7
Tajikistan,Asia,2015,0.92,25.9,978,8.45,10.5,0,70.1
South Africa,Africa,2014,7.21,27.2,6274,54.54,10,0,62
Fiji,Oceania,2007,2.1,26.9,4535,0.84,9.3,0,66.4
Nigeria,Africa,2004,11.33,22.6,1878,135.32,5.2,0,47.7
Philippines,Asia,2006,4.05,22.5,2149,87.89,8.8,0,69.2
Guinea,Africa,2001,0.17,21.9,637,8.42,1.5,0,51.3
Mauritania,Africa,2011,0,24.6,1433,3.6,3.9,0,62.8
Argentina,South America,2004,7.63,26.5,10389,38.49,9.2,0,74.3
Maldives,Asia,2014,1.3,25.2,9182,0.44,6.2,0,77.4
Central African Republic,Africa,2014,1.88,22.7,364,4.46,4.1,0,50.1
Eswatini,Africa,2005,5.05,25.9,2902,1.03,4.5,0,42.5
Germany,European Union,2002,12.25,25.9,34883,82.49,12.1,1,78.2
Maldives,Asia,2008,1.52,24.2,9119,0.34,4.3,0,75.1
Trinidad and Tobago,Central America and Caribbean,2006,6.05,26.6,17334,1.3,9.9,0,71
Barbados,Central America and Caribbean,2009,8.24,27.2,17254,0.28,9.3,0,78.3
Luxembourg,European Union,2009,11.98,26.1,104574,0.5,11.8,1,80.6
Malaysia,Asia,2011,0.54,25.1,8550,28.65,10.1,0,74.7
Oman,Middle East,2003,0.55,25.5,19716,2.39,6.4,0,73.4
Sierra Leone,Africa,2014,3.04,22.7,757,7.02,3.3,0,52.4
Israel,Middle East,2011,2.81,27,33678,7.77,12.7,1,81.7
Luxembourg,European Union,2004,12.34,25.8,100293,0.46,11.1,1,79.1
Iraq,Middle East,2004,0.33,27.4,3515,26.31,5.7,0,68.4
Liberia,Africa,2010,3.65,23.8,649,3.89,4.1,0,59.6
Sri Lanka,Asia,2008,2.1,22.3,2675,19.98,11,0,75.2
Malaysia,Asia,2004,0.51,24.3,7044,25.19,7.8,0,73.4
Malaysia,Asia,2001,0.52,24,6286,23.71,8.4,0,72.8
Myanmar,Asia,2001,0.12,21.4,345,47.23,3.2,0,60.4
France,European Union,2010,12.3,25.1,35640,65.03,10.9,1,81.7
Bolivia,South America,2012,3.24,26.1,2693,10.38,8.3,0,69
Ukraine,Rest of Europe,2005,6.82,26,2144,47.11,11.2,0,68
Thailand,Asia,2005,6.19,23.3,4412,65.42,7,0,72.1
Slovak Republic,European Union,2009,11.13,26,13679,5.39,11.4,1,74.9
Ghana,Africa,2010,1.6,23.6,1419,24.78,6.7,0,61
Algeria,Africa,2005,0.5,24.7,3752,33.15,6.9,0,73.1
Netherlands,European Union,2004,9.57,25.3,41450,16.28,11.5,1,79.1
Azerbaijan,Asia,2003,0.55,25.8,1919,8.23,10.6,0,67.8
Italy,European Union,2001,9.68,25.4,32964,56.97,8.7,1,80.1
Chile,South America,2002,6.06,26.8,8910,15.68,9.2,0,76.9
Myanmar,Asia,2013,1.31,22.4,1088,51.85,4.7,0,64.9
Cote d'Ivoire,Africa,2000,4.65,22.7,1848,16.45,3.3,0,49.6
Austria,European Union,2015,11.6,25.5,44196,8.64,12.1,1,81.2
New Zealand,Oceania,2005,9.32,27.2,35052,4.13,11.7,1,79.9
Tanzania,Africa,2012,6.22,22.9,857,47.05,5.5,0,60.5
"Iran, Islamic Rep.",Middle East,2003,0.012,25.3,4543,68.12,6.7,0,71.3
Guyana,South America,2014,5.84,26.2,5568,0.76,8.4,0,69
"Gambia, The",Africa,2000,3.16,21.9,729,1.32,2,0,56
Peru,South America,2006,4.48,25.6,4124,28.1,8.1,0,73.2
Namibia,Africa,2011,1.59,23.9,4282,2.16,6.3,0,58.1
Switzerland,Rest of Europe,2008,10.29,25,82998,7.65,12.9,1,82
St. Vincent and the Grenadines,Central America and Caribbean,2011,7.04,26.7,6738,0.11,8.4,0,71.8
Lebanon,Middle East,2010,1.37,27.1,9115,4.95,7.9,0,78.4
Latvia,European Union,2010,9.83,26.3,10964,2.1,12.5,1,73.5
Cabo Verde,Africa,2009,4.2,24.2,3004,0.49,5,0,70.9
Ecuador,South America,2004,4.09,25.8,4725,13.6,7.2,0,73.9
Moldova,Rest of Europe,2015,6.76,27,2732,2.83,11.6,0,71.5
Bolivia,South America,2010,3.37,25.8,2514,10.05,7.8,0,68
"Venezuela, RB",South America,2003,6.39,26.4,3273,25.55,7,0,72.6
Malta,European Union,2008,6.87,27.1,19948,0.41,10,1,79.6
Bosnia and Herzegovina,Rest of Europe,2003,4.29,24.9,3172,3.76,7.2,0,74.9
Pakistan,Asia,2005,0.039,23,1175,160.3,4.5,0,64
Bhutan,Asia,2013,0.31,23.6,2501,0.71,2.8,0,69.7
Canada,North America,2010,8.4,26.8,41155,34,12.6,1,81.2
Uruguay,South America,2001,6.9,25.9,9679,3.33,8,0,74.9
Madagascar,Africa,2002,0.8,20.7,426,16.77,5.3,0,59.7
St. Vincent and the Grenadines,Central America and Caribbean,2010,7.19,26.6,6783,0.11,8.3,0,71.8
Tajikistan,Asia,2013,0.8,25.6,907,8.06,10.7,0,69.6
Burundi,Africa,2001,6.62,20.7,306,6.53,1.9,0,49.9
Morocco,Africa,2000,0.45,24.6,1763,28.79,3.4,0,68.7
Libya,Africa,2008,0.011,27.4,13794,6.06,7,0,72.2
Japan,Asia,2013,8.65,22.7,34240,127.45,12.2,1,83.3
Lithuania,European Union,2013,14.92,26.4,13262,2.96,11.9,1,73.9
Portugal,European Union,2002,12.5,25.6,19068,10.42,7,1,77.1
"Congo, Rep.",Africa,2015,2.05,23.1,2449,4.86,6.3,0,63.1
Zambia,Africa,2006,2.73,21.9,965,12.17,6.4,0,49.8
Namibia,Africa,2007,1.9,23.5,4012,2.01,6.1,0,52.6
Australia,Oceania,2006,10.31,26.7,50948,20.7,11.9,1,81
Cameroon,Africa,2000,3.89,23,1107,15.51,4.8,0,51
"Egypt, Arab Rep.",Africa,2007,0.19,28.4,3126,78.23,6,0,69.8
Papua New Guinea,Oceania,2006,0.61,24.7,1944,6.65,3.6,0,60.8
Lao PDR,Asia,2005,3.69,21.6,1172,5.75,4.2,0,61.6
Lithuania,European Union,2004,12.1,26.1,8919,3.38,11.5,1,72
Malta,European Union,2000,5.94,26.9,17189,0.39,8.1,1,78.3
Ecuador,South America,2011,3.99,26.6,5655,15.24,8,0,75.3
"Congo, Dem. Rep.",Africa,2003,2.26,21,342,51.43,3.9,0,52.1
Dominican Republic,Central America and Caribbean,2005,5.75,25.4,4647,9.1,7,0,70.8
Spain,European Union,2003,11.04,26.2,25311,42.19,8.6,1,79.6
Czechia,European Union,2011,12.56,26.9,16762,10.5,12.5,1,77.9
Syrian Arab Republic,Middle East,2003,0.86,27.1,1423,17.42,5.1,0,74
Argentina,South America,2011,7.69,27.2,14200,41.26,9.8,0,75.4
Rwanda,Africa,2002,9.16,21.1,399,8.43,2.5,0,51
Brunei Darussalam,Asia,2011,0.91,26.5,34244,0.39,8.8,0,74.9
Guinea,Africa,2011,0.24,22.6,712,10.42,2,0,57.4
Namibia,Africa,2015,2.63,24.2,4897,2.31,6.7,0,62.1
Guatemala,Central America and Caribbean,2013,1.83,26.3,3802,15.04,4.7,0,72.6
Nepal,Asia,2014,0.24,22.2,871,26.91,4.5,0,69.2
Zambia,Africa,2002,2.61,21.6,808,10.97,6.1,0,45.4
Solomon Islands,Oceania,2007,0.82,25.5,1910,0.49,4.9,0,69.8
Syrian Arab Republic,Middle East,2000,0.93,26.9,1341,16.41,4.6,0,73.1
Antigua and Barbuda,Central America and Caribbean,2014,9.66,26.5,13909,0.09,9.2,0,76.3
Serbia,Rest of Europe,2000,9.2,25.3,3193,7.52,9.4,0,71.6
Moldova,Rest of Europe,2001,6.34,26,1423,2.92,9.3,0,67.2
Panama,Central America and Caribbean,2011,6.16,26.5,11194,3.71,9.3,0,77
Grenada,Central America and Caribbean,2012,7.77,26.6,7934,0.11,8.4,0,72.7
Uruguay,South America,2002,6.08,26,8929,3.33,8,0,75.2
Barbados,Central America and Caribbean,2001,7.42,26.6,15834,0.27,9,0,77.4
Mauritius,Africa,2001,4.31,24.5,5674,1.2,6.4,0,71.8
North Macedonia,Rest of Europe,2011,3.52,26.4,4434,2.06,9.3,0,75.1
Haiti,Central America and Caribbean,2006,3.51,24.1,1286,9.34,4.4,0,59
Armenia,Rest of Europe,2000,2.91,25.7,1290,3.07,10.8,0,71.4
South Africa,Africa,2001,7.56,26.2,4996,45.57,7.5,0,55.1
United Arab Emirates,Middle East,2006,2.46,27.6,51197,5.3,9.3,0,75.6
Suriname,South America,2011,5.69,26.2,9358,0.54,7.8,0,70.7
Burundi,Africa,2007,5.03,21.1,302,7.86,2.4,0,54.9
Georgia,Rest of Europe,2013,6.76,27.2,3739,3.72,12.6,0,72.4
Canada,North America,2008,8.4,26.8,42064,33.25,12.4,1,80.7
Ethiopia,Africa,2004,0.21,20.1,286,74.24,1.8,0,55.2
Cote d'Ivoire,Africa,2007,0.91,23.3,1558,19.17,3.9,0,51.1
Ecuador,South America,2007,3.99,26.1,5048,14.3,7.3,0,74.5
Finland,European Union,2014,8.76,25.9,42711,5.46,12.4,1,81.2
Senegal,Africa,2014,0.19,22.9,1179,14.17,2.8,0,66.4
Turkiye,Middle East,2011,1.47,27.5,9299,73.44,7.2,0,74.9
Tunisia,Africa,2009,1.36,25.8,3881,10.53,6.4,0,74.9
"Bahamas, The",Central America and Caribbean,2004,9.61,27.1,35122,0.32,10.9,0,72
Guatemala,Central America and Caribbean,2003,2.34,25.3,3251,12.42,3.7,0,69.1
Barbados,Central America and Caribbean,2014,9.27,27.6,16188,0.28,10.5,0,78.7
Netherlands,European Union,2000,10.13,25,40457,15.93,10.8,1,78
Uganda,Africa,2009,11.1,21.9,750,31.41,5.2,0,56.1
Uruguay,South America,2008,6.54,26.5,12022,3.34,8.4,0,76.4
Luxembourg,European Union,2014,11.42,26.2,105584,0.56,12,1,82.2
Switzerland,Rest of Europe,2007,10.44,25,81805,7.55,12.6,1,81.7
Costa Rica,Central America and Caribbean,2008,4.29,26.6,10053,4.46,8.4,0,78.5
"Gambia, The",Africa,2004,3.56,22.6,751,1.5,2.3,0,57.6
South Africa,Africa,2010,7.07,26.9,6085,51.22,10,0,57.7
Brunei Darussalam,Asia,2001,0.44,25.4,34291,0.34,8.3,0,73.1
Panama,Central America and Caribbean,2010,6.1,26.5,10232,3.64,9.3,0,76.8
Lesotho,Africa,2006,2.77,24.4,874,1.99,5.4,0,42.6
Azerbaijan,Asia,2005,0.73,26,2632,8.39,10.7,0,68.7
South Africa,Africa,2007,7.5,26.7,6060,49.12,9.1,0,54.5
Nicaragua,Central America and Caribbean,2014,3.54,27.1,1982,6.14,6.5,0,73.4
"Iran, Islamic Rep.",Middle East,2010,0.03,25.8,5496,73.76,9,0,73.9
Jamaica,Central America and Caribbean,2002,3.61,25.8,4934,2.69,7.7,0,74.1
Lesotho,Africa,2010,2.75,24.7,996,2,5.6,0,45.1
Oman,Middle East,2009,0.5,25.9,21458,2.88,7.7,0,75.4
"Egypt, Arab Rep.",Africa,2012,0.19,29.1,3472,86.42,6.8,0,70.7
Ghana,Africa,2000,1.95,22.6,1041,19.28,6.1,0,57
Japan,Asia,2009,6.98,22.7,31651,128.05,11.4,1,82.9
Spain,European Union,2012,8.6,26.1,24635,46.77,9.5,1,82.4
Spain,European Union,2011,8.74,26.1,25403,46.74,9.5,1,82.5
Croatia,European Union,2011,11.01,26.8,11780,4.28,11,1,76.8
Uganda,Africa,2000,11.68,21.2,517,23.65,3.9,0,46.2
Serbia,Rest of Europe,2006,8.82,25.6,4648,7.41,10.2,0,73.4
Czechia,European Union,2002,13.77,26.5,12960,10.2,11.1,1,75.2
Sierra Leone,Africa,2000,3.75,22,403,4.58,2.3,0,39.4
Lebanon,Middle East,2009,1.53,27,8687,4.81,7.9,0,78.2
Czechia,European Union,2010,12.68,26.8,16506,10.47,12.4,1,77.4
Philippines,Asia,2002,4.39,22.3,1876,81.37,7.9,0,68.9
Dominican Republic,Central America and Caribbean,2002,6.65,25.1,4376,8.72,6.7,0,70
Sri Lanka,Asia,2000,1.45,21.5,1923,18.78,10,0,71.3
Cyprus,European Union,2014,9.63,26.8,22514,1.15,11.9,1,80.2
Latvia,European Union,2001,6.68,25.6,7245,2.34,10,1,70.8
Benin,Africa,2005,1.24,22.6,944,7.98,2.8,0,57.4
Madagascar,Africa,2003,0.83,20.8,453,17.28,5.4,0,60.3
Pakistan,Asia,2000,0.015,22.5,1029,142.34,3.3,0,62.8
Cote d'Ivoire,Africa,2008,0.97,23.3,1596,19.61,4,0,51.7
Grenada,Central America and Caribbean,2001,9.77,25.4,6809,0.1,7.4,0,72.8
Finland,European Union,2000,8.88,25.7,37884,5.18,9.3,1,77.5
Kiribati,Oceania,2009,0.54,29.5,1409,0.1,7.8,0,65.5
Bulgaria,European Union,2004,10.7,25.5,4850,7.72,10.1,1,72.6
Cambodia,Asia,2014,3.07,22,1105,15.27,4.7,0,68.3
Nicaragua,Central America and Caribbean,2000,3.58,25.8,1445,5.07,5.1,0,69.5
Guyana,South America,2001,7.36,24.8,3947,0.75,7.8,0,65.5
Ethiopia,Africa,2009,0.32,20.3,414,85.23,2.3,0,60.6
Turkmenistan,Asia,2010,2.9,25.8,4266,5.09,9.9,0,66.7
Lithuania,European Union,2007,13.79,26.2,11985,3.23,12.1,1,70.9
Russian Federation,Rest of Europe,2001,10.47,25.8,5619,145.98,11.4,0,65.4
Cabo Verde,Africa,2012,4.93,24.3,3085,0.51,5.4,0,71.4
Myanmar,Asia,2005,0.63,21.7,542,48.95,3.5,0,61.6
Portugal,European Union,2008,11.47,25.8,19986,10.56,7.8,1,78.5
Uruguay,South America,2011,6.02,26.8,14086,3.37,8.4,0,76.9
Ukraine,Rest of Europe,2014,7.58,26.5,2346,45.27,11.3,0,71.2
Ireland,European Union,2004,13.11,26.7,47731,4.07,11.6,1,78.5
